,OPEN,HIGH,LOW,CLOSE,PE,MACD,SAR,RSI,BOLL,STD,WR,KDJ,CCI,ROC
2005-01-03,39.48,39.69,39.01,39.15,,0.23929135779517452,38.90830853774897,62.15416543603841,38.46846153846154,0.7725032384849663,35.99999999999994,60.24527994474564,111.90208567503475,0.30745580322827937
2005-01-04,38.98,39.06,38.32,38.41,,0.17918370798562933,39.69,31.428691866885732,38.49615384615384,0.8697024730998867,85.3333333333334,42.35330098506149,-138.49294729027724,-1.3357307988697742
2005-01-05,38.6,38.92,38.39,38.49,,0.13643060676178465,39.6626,35.56121418672253,38.54153846153845,0.8412733061268406,79.99999999999972,32.37178703140357,-107.31937667243571,-0.07788161993769765
2005-01-06,38.77,38.98,38.64,38.71,,0.11892968008484672,39.635748,46.250755649480304,38.58230769230769,0.8311213543284235,65.33333333333312,31.07024244915959,-49.51219512194951,0.2849740932642472
2005-01-07,38.69,38.87,38.39,38.4,,0.07913345912616876,39.60943304,36.119309766001216,38.58692307692307,0.7853693625108152,94.16058394160596,22.659966985571074,-119.29225516064018,-1.7148707448169993
2005-01-10,38.27,38.51,38.05,38.27,,0.036681907558815396,39.583644379199995,32.53306087703625,38.58038461538461,0.7838552857233448,86.58536585365817,19.57818937249466,-167.59160441123822,-1.9472200871124723
2005-01-11,38.1,38.25,37.9,37.9,,-0.026511552017417728,39.522298604031995,24.29453949099217,38.57423076923076,0.7827851482762763,100.0,13.052126248329772,-170.9740577581992,-3.2175689479060217
2005-01-12,38.0,38.03,37.57,37.99,,-0.06854048414104597,39.424960687790076,29.5053193569592,38.56923076923076,0.7836382840451465,80.18867924528291,15.30519108379221,-156.68556579258117,-2.9877425944841542
2005-01-13,38.0,38.38,37.71,37.77,,-0.11823790407676427,39.27656383276687,24.54889116313039,38.567692307692305,0.775342816391303,90.56603773584891,13.348114810578503,-117.75700934579355,-3.1786721353498972
2005-01-14,37.78,37.98,37.65,37.81,,-0.1526363054044424,39.14003872614552,27.2164872264987,38.57769230769231,0.7627560301211522,88.67924528301876,14.267870723830896,-118.8630694499149,-3.570517725070131
2005-01-18,37.71,38.49,37.522,38.4,,-0.13078164769359546,39.014435628053874,55.23187400584161,38.605,0.8177268026598463,59.50184501845016,29.585073395219705,-58.013379410925396,-1.7400204708290679
2005-01-19,38.01,38.45,37.83,37.84,,-0.15684102814585543,38.865192065248486,38.397854381024544,38.61307692307692,0.8705935070486301,85.33210332103297,26.993615459639045,-62.615766885026375,-2.9992309664188532
2005-01-20,37.8,37.83,37.11,37.25,,-0.22253608658400026,38.730872858723636,27.717292762746165,38.574615384615385,0.8586013795780179,94.5736434108527,20.647258791274528,-142.72725341490982,-3.0200468627961383
2005-01-21,37.25,37.49,36.85,36.85,,-0.3033793820944055,38.5363681156768,22.60245395588562,38.50192307692307,0.8310411803059774,100.0,13.764839194183018,-168.0851063829793,-4.260846973239804
2005-01-24,36.86,37.22,36.76,36.88,,-0.3608676690943611,38.30027657948205,23.866891017894858,38.419230769230765,0.8109961509187897,94.59459459459438,11.48869819111246,-164.6887408735766,-4.727460604494958
2005-01-25,36.99,37.21,36.83,36.86,,-0.4033913393183255,38.053832326764926,23.558986111802373,38.33961538461538,0.8115480119832554,95.49549549549543,9.585914401011413,-131.58166194688624,-4.010416666666665
2005-01-26,36.8,37.0,36.76,36.83,,-0.43450371525654674,37.84681915448254,23.024323106489494,38.27461538461538,0.793176401984968,96.6824644549763,7.739357192196437,-117.56799430693604,-3.762738437418356
2005-01-27,36.62,36.9,36.51,36.75,,-0.46030966546163654,37.672928089765335,21.465440797045616,38.20346153846154,0.7894654150285588,87.9999999999999,9.199975501868357,-112.04623411553234,-3.0343007915567246
2005-01-28,36.88,37.0,36.63,37.0,,-0.45533928838058557,37.463601033607574,37.367619908565146,38.12384615384615,0.7576510341746243,75.2525252525252,14.382475250403838,-79.58252991766804,-2.605948933929987
2005-01-31,37.28,37.4,37.24,37.33,,-0.41993128025860926,36.51,52.57775622259126,38.058461538461536,0.7876102901601529,58.58585858585865,23.677663912640327,-14.944410340359134,-1.1649457241196843
2005-01-31,37.28,37.4,37.24,37.33,,-0.41993128025860926,36.51,52.57775622259126,38.058461538461536,0.7876102901601529,58.58585858585865,23.677663912640327,-14.944410340359134,-1.1649457241196843
2005-02-01,37.5,37.64,37.3,37.5,,-0.3738431681373129,36.5278,58.76771579857253,37.99461538461538,0.7910816732908401,50.0,40.785109275093596,14.300736067297045,-0.8198889182755945
2005-02-02,37.5,37.54,37.38,37.52,,-0.33187848578430135,36.572288,59.51377842036955,37.93730769230769,0.7908652199458439,48.98989898989883,56.983583174546254,19.909247881780637,-0.7669928590319998
2005-02-03,37.53,37.53,37.35,37.39,,-0.30558845276374313,36.61499648,52.15317761869067,37.86730769230769,0.7800897373143185,55.555555555555515,63.94775751459428,18.509636735057178,-2.630208333333328
2005-02-04,37.44,37.74,37.4,37.69,,-0.25757673512355694,36.6559966208,64.35978978810046,37.81076923076923,0.8035409110023323,40.404040404040536,74.61015812626057,58.075587817579844,-0.3964059196617486
