,OPEN,HIGH,LOW,CLOSE,PE,MACD,SAR,RSI,BOLL,STD,WR,KDJ,CCI,ROC
2005-01-03,12.48,12.6,11.52,11.92,,0.14998770561491526,13.054394527257395,41.372939441352315,12.00096153846154,3.2739814228809205,70.37037037037037,46.444911232915096,-59.2307057561504,-6.984003121342173
2005-01-04,11.92,11.95,11.25,11.66,,0.09530459407461045,12.993018746167099,35.896690485845205,12.012884615384614,3.3078348913512836,79.99999999999997,40.537742240383125,-92.94221438023838,-12.724550898203587
2005-01-05,11.74,11.74,11.09,11.2,,0.014680451482353973,12.888437621397072,28.02202588197552,12.004423076923075,3.4020486810746577,95.970695970696,28.944882261477048,-106.81183696259052,-13.713405238828976
2005-01-06,11.2,11.37,11.01,11.05,,-0.06061972236038393,12.744562611685307,25.80676022275276,11.991730769230768,3.411408911269304,98.45559845559842,19.96660492473681,-115.6741873176344,-12.99212598425196
2005-01-07,11.11,11.55,11.0,11.12,,-0.11334071642679433,12.571106350516777,28.95208606585732,11.986730769230768,3.406599005658011,95.18072289156629,15.311069949824528,-96.95798916422376,-11.74603174603175
2005-01-10,11.1,11.74,11.1,11.27,,-0.14138889449675673,12.382573588454763,35.93586870625213,11.983653846153846,3.4125330046665527,86.69950738916258,14.707379966549679,-69.55754814052572,-3.6752136752136733
2005-01-11,11.4,11.44,11.01,11.01,,-0.18249343407297225,12.216664757840192,29.83573377513538,11.972499999999998,3.4422911362616,99.50000000000001,9.971586644366448,-93.3786444426461,-4.509973980919337
2005-01-12,11.19,11.3,10.53,10.75,,-0.23335888890820833,12.070664986899368,24.786671274298204,11.955192307692307,3.4688052755850873,91.09311740890685,9.864098698583488,-118.24231747895881,-6.764960971379005
2005-01-13,10.95,11.05,10.74,10.86,,-0.26177645165481067,11.854971888733457,30.737440935795025,11.92403846153846,3.3658773863396694,86.63967611336032,11.890075460891408,-100.42555117932011,-6.379310344827588
2005-01-14,11.14,11.44,10.78,11.33,,-0.24356483897303605,11.669475824310773,50.72603538389816,11.924807692307692,3.42710068728569,67.61133603238865,26.706059696932318,-53.444386604199444,-6.36363636363636
2005-01-18,11.44,11.47,10.94,11.3,,-0.22891397617138232,11.509949208907264,49.62899195609061,11.908269230769228,3.3454185206805445,68.82591093117404,39.01616101007611,-41.20848606020227,-10.883280757097785
2005-01-19,11.36,11.36,10.92,11.07,,-0.2331742520256821,11.372756319660247,41.39313101532707,11.8825,3.366750906161691,78.13765182186232,40.886807064568664,-52.049007182086804,-10.21897810218978
2005-01-20,11.12,11.231,10.92,11.09,,-0.2322593769596697,11.284170434907812,42.39071494032774,11.817499999999999,2.821730082896164,75.43859649122805,42.684868621558174,-55.680840364306505,-4.888507718696401
2005-01-21,11.01,11.24,10.99,11.04,,-0.23288436798248568,11.24,40.331207335951014,11.7575,2.8157176239828168,64.08450704225353,42.506165857898274,-49.01286677105326,-1.42857142857143
2005-01-24,11.01,11.36,10.84,11.14,,-0.2227428724250622,11.36,46.56213871764926,11.693076923076923,2.795283557466873,49.58677685950407,49.968649579024394,-29.419108839060723,0.8144796380090484
2005-01-25,12.681,13.12,11.29,11.33,,-0.1971021807783604,10.84,56.83845662309746,11.615,2.663591360765331,69.11196911196909,43.608443348693235,300.2419211805148,1.8884892086331013
2005-01-26,11.1,11.49,10.77,11.03,,-0.19869876503489614,10.77,41.659256741539984,11.54,2.65723338751466,80.69498069498069,33.13392021565542,-35.35691269570577,-2.12954747116238
2005-01-27,10.97,11.41,10.91,11.21,,-0.18332630238648484,10.817,51.068008154668064,11.482692307692307,2.6717102220198026,73.74517374517369,28.330414895543353,-0.7622991679117554,1.81653042688466
2005-01-28,11.22,11.7,11.13,11.44,,-0.1508455831903035,10.86306,60.76917644766501,11.438076923076922,2.7147974774712815,64.86486486486486,28.390489362986347,91.79660007579282,6.418604651162786
2005-01-31,11.34,11.58,11.25,11.5,,-0.11889236349881926,10.908198800000001,63.06169454488403,11.430384615384614,2.335678126611857,62.54826254826252,29.281602837735587,93.49476575455952,5.893186003683247
2005-01-31,11.34,11.58,11.25,11.5,,-0.11889236349881926,10.908198800000001,63.06169454488403,11.430384615384614,2.335678126611857,62.54826254826252,29.281602837735587,93.49476575455952,5.893186003683247
2005-02-01,11.42,11.65,11.39,11.48,,-0.09409833253256927,10.924034824000001,61.62131708850551,11.42846153846154,2.3181345556823865,68.90756302521007,29.591990544306004,93.99633544749918,1.3239187996469581
