,OPEN,HIGH,LOW,CLOSE,VOLUME,PE,MACD,SAR,RSI,BOLL,STD,WR,CCI,ROC
2005-01-04,6.98,6.98,6.82,6.88,3808939.0,13.955839816323808,-0.12426682465493588,7.037999999999999,16.83947900696104,7.163076923076924,0.8668868883899095,89.47368421052637,-156.8727067456956,-4.709141274238225
2005-01-05,6.88,6.88,6.72,6.77,5225244.0,13.732708656469793,-0.13698516981714803,6.9944,11.458657114433601,7.142307692307693,0.8804469769718178,92.53731343283584,-202.56410256410396,-5.578800557880061
2005-01-06,6.8,6.83,6.63,6.68,4298099.0,13.550146798407418,-0.152568087880792,6.93952,8.722255486875078,7.1207692307692305,0.894612226480124,92.64705882352943,-211.16666666666586,-5.516265912305524
2005-01-07,6.68,6.76,6.65,6.7,4362864.0,13.590716100199057,-0.1614428175559448,6.877616,14.18697717798496,7.100384615384616,0.9019672856424565,89.70588235294113,-157.50000000000063,-4.011461318051579
2005-01-10,6.8,6.95,6.73,6.93,7115260.000000001,14.057263070802906,-0.14820857080507022,6.63,53.00991840517758,7.088076923076924,1.1573116381549111,55.882352941176485,-51.1469838572648,-2.3943661971830976
2005-01-11,6.93,7.02,6.9,7.01,6895175.0,14.219540277969461,-0.12976910601957137,6.6364,60.47378487123556,7.079615384615385,1.1855807396476896,44.11764705882352,10.262345679012018,-1.5449438202247237
2005-01-12,7.02,7.03,6.91,6.97,2797449.0,14.138401674386182,-0.11703426487971313,6.651744,55.21189708713534,7.069230769230771,1.1877422251635816,50.0,10.695617209488995,-1.9690576652602048
2005-01-13,6.95,7.02,6.94,6.96,1284827.0,14.118117023490363,-0.10652082222164871,6.67443936,53.80734689118958,7.056538461538462,1.1756317525503905,42.105263157894754,23.01666114972966,-0.995732574679947
2005-01-14,6.96,7.08,6.9,6.92,1731048.0,14.036978419907086,-0.1002607651850278,6.6957729984,47.95200085846428,7.0407692307692304,1.1687310335768657,44.230769230769276,28.359103440008383,-1.4245014245014196
2005-01-17,6.9,6.92,6.79,6.8,2620773.0,13.793562609157252,-0.10378623884368654,6.726511158528,34.45436431845207,7.0165384615384605,1.159224987823513,63.04347826086958,-52.54646391503649,-2.85714285714286
2005-01-18,6.8,6.88,6.73,6.88,1595810.0,13.955839816323808,-0.09898384653814851,6.73,46.5014725312013,6.999230769230768,1.1765521907432273,45.65217391304348,-48.70466321243621,-1.7142857142857157
2005-01-19,6.88,6.88,6.76,6.78,1029390.0,13.752993307365612,-0.10207047539804837,6.758,36.45184790602837,6.979999999999998,1.1977653615753103,66.6666666666666,-56.30026809651422,-3.1428571428571397
2005-01-20,6.75,6.78,6.65,6.72,2110578.0,13.631285401990697,-0.10811190284784988,6.92,31.543596108158866,6.961538461538461,1.1925410973608728,80.00000000000004,-106.56167979002655,-2.325581395348839
2005-01-21,6.72,7.39,6.7,7.39,41373685.0,14.990357012010602,-0.05816587702820275,6.65,75.58889357052624,6.969615384615384,2.33354126150869,0.0,189.74014336917622,9.158050221565734
2005-01-24,7.67,7.76,7.42,7.65,46750809.0,15.517757935301908,0.002369224420560201,6.6648000000000005,81.21668006814295,6.986153846153845,2.425373140483403,9.734513274336235,286.69789892106706,14.520958083832344
2005-01-25,7.55,7.56,7.36,7.47,26795282.0,15.152634219177157,0.03541103638844412,6.708608000000001,68.16183238322434,6.997692307692308,2.4725795160334503,25.663716814159297,173.0224215246631,11.49253731343283
2005-01-26,7.47,7.59,7.38,7.42,16230795.000000002,15.05121096469806,0.05690634734461231,6.750663680000001,64.69543037193304,7.011153846153847,2.4580809039417497,30.630630630630634,128.10730253353188,7.0707070707070745
